"","Mat_Bat","Inns_Bat","NO","Runs_Bat","HS","Ave_Bat","BF","SR_Bat","100","50","4s","6s","Ct","St","Mat_Bowl","Inns_Bowl","Balls","Runs_Bowl","Wkts","Ave_Bowl","Econ","SR_Bowl","4w","5w","10","Full_Name","Country","Batting_Style","Bowling_Style"
"11",79,56,13,589,54,13.69,715,82.37,0,2,46,21,23,0,79,78,3695,3503,102,34.34,5.68,36.2,4,1,0," Wahab Riaz","Pakistan","Batting style Right-hand bat","Bowling style Left-arm fast"
"12",51,27,9,352,73,19.55,430,81.86,0,2,31,8,6,0,51,50,2473,1971,60,32.85,4.78,41.2,1,0,0," Mohammad Amir","Pakistan","Batting style Left-hand bat","Bowling style Left-arm fast"
"13",14,6,4,41,19,20.5,58,70.68,0,0,2,2,2,0,14,13,641,613,24,25.54,5.73,26.7,3,0,0," Shaheen Shah Afridi","Pakistan","Batting style Left-hand bat","Bowling style Left-arm medium"
"14",5,2,0,28,28,14,18,155.55,0,0,4,1,1,0,5,5,246,303,5,60.6,7.39,49.2,0,0,0," Mohammad Hasnain","Pakistan","Batting style Right-hand bat","Bowling style Right-arm fast"
"15",16,12,1,342,52,31.09,261,131.03,0,3,20,20,4,0,16,1,5,9,0,NA,10.8,NA,0,0,0," Asif Ali","Pakistan","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"16",77,51,26,502,47,20.08,630,79.68,0,0,38,21,15,0,77,75,3535,3135,107,29.29,5.32,33,3,0,0," Dawlat Zadran","Afghanistan","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"17",30,13,6,41,15,5.85,47,87.23,0,0,5,1,4,0,30,29,1626,1021,51,20.01,3.76,31.8,2,1,0," Mujeeb Ur Rahman","Afghanistan","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"18",112,100,11,2592,116,29.12,2967,87.36,1,13,161,85,50,0,112,108,5303,3768,118,31.93,4.26,44.9,2,0,0," Mohammad Nabi","Afghanistan","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"19",33,17,4,92,17,7.07,171,53.8,0,0,9,2,4,0,33,32,1578,1208,58,20.82,4.59,27.2,2,1,0," Hamid Hassan","Afghanistan","Batting style Right-hand bat","Bowling style Right-arm fast"
"20",59,44,9,798,60,22.8,788,101.26,0,4,70,24,20,0,59,56,2947,1917,125,15.33,3.9,23.5,4,4,0," Rashid Khan Arman","Afghanistan","Batting style Right-hand bat","Bowling style Legbreak googly"
"21",55,46,8,830,82,21.84,1165,71.24,0,5,61,23,11,0,55,50,1770,1520,50,30.4,5.15,35.4,2,1,0," Gulbadin Naib","Afghanistan","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"22",24,14,9,66,16,13.2,95,69.47,0,0,6,3,6,0,24,24,1136,918,37,24.81,4.84,30.7,1,0,0," Aftab Alam","Afghanistan","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"23",174,171,12,7910,159,49.74,8865,89.22,27,37,806,53,83,0,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Hashim Mahomed Amla","South Africa","Batting style Right-hand bat","Bowling style Right-arm medium, Right-arm offbreak"
"24",18,18,1,503,67,29.58,569,88.4,0,2,59,9,7,0,18,3,48,56,2,28,7,24,0,0,0," Aiden Kyle Markram","South Africa","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"25",134,128,18,5120,185,46.54,5783,88.53,11,32,459,62,71,0,134,11,192,189,2,94.5,5.9,96,0,0,0," Francois du Plessis","South Africa","Batting style Right-hand bat","Bowling style Legbreak"
"26",9,8,4,353,93,88.25,467,75.58,0,4,23,6,6,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Hendrik Erasmus van der Dussen","South Africa","Batting style Right-hand bat","Bowling style Legbreak"
"27",120,106,31,2922,139,38.96,2897,100.86,5,12,219,82,59,0,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," David Andrew Miller","South Africa","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"28",194,175,40,5047,150,37.38,5980,84.39,4,27,341,75,80,0,194,131,3459,3082,68,45.32,5.34,50.8,1,0,0," Jean-Paul Duminy","South Africa","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"29",43,25,12,416,69,32,454,91.62,0,1,38,17,10,0,43,42,1706,1600,54,29.62,5.62,31.5,3,0,0," Andile Lucky Phehlukwayo","South Africa","Batting style Left-hand bat","Bowling style Right-arm fast-medium"
"30",19,8,1,132,50,18.85,139,94.96,0,1,9,4,5,0,19,19,884,719,24,29.95,4.88,36.8,0,0,0," Dwaine Pretorius","South Africa","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"31",34,23,3,393,62,19.65,404,97.27,0,1,32,12,6,0,34,33,1512,1415,35,40.42,5.61,43.2,2,0,0," Christopher Henry Morris","South Africa","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"32",98,32,14,146,29,8.11,209,69.85,0,0,21,1,23,0,98,96,5085,3923,162,24.21,4.62,31.3,6,3,0," Mohammad Imran Tahir","South Africa","Batting style Right-hand bat","Bowling style Legbreak googly"
"33",106,106,5,4602,178,45.56,4803,95.81,14,21,537,65,149,8,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Quinton de Kock","South Africa","Batting style Left-hand bat",NA
"34",66,24,10,201,26,14.35,263,76.42,0,0,16,4,19,0,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0," Kagiso Rabada","South Africa","Batting style Left-hand bat","Bowling style Right-arm fast"
"35",18,7,5,40,19,20,55,72.72,0,0,4,1,5,0,18,18,828,736,34,21.64,5.33,24.3,2,0,0," Lungisani Ngidi","South Africa","Batting style Right-hand bat","Bowling style Right-arm fast"
"36",15,3,2,0,0,0,2,0,0,0,0,0,5,0,15,15,771,682,19,35.89,5.3,40.5,1,0,0," Tabraiz Shamsi","South Africa","Batting style Right-hand bat","Bowling style Slow left-arm chinaman"
"37",125,51,12,365,60,9.35,562,64.94,0,1,35,9,28,0,125,124,6256,5087,196,25.95,4.87,31.9,4,3,0," Dale Willem Steyn","South Africa","Batting style Right-hand bat","Bowling style Right-arm fast"
"38",82,45,20,217,26,8.68,371,58.49,0,0,15,3,19,0,82,80,3728,3376,107,31.55,5.43,34.8,3,0,0," Ranasinghe Arachchige Suranga Lakmal","Sri Lanka","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"39",35,15,10,27,7,5.4,63,42.85,0,0,2,1,6,0,35,33,1598,1625,42,38.69,6.1,38,1,0,0," Aththachchi Nuwan Pradeep Roshan Fernando","Sri Lanka","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"40",154,121,16,2147,140,20.44,1912,112.29,1,10,165,80,58,0,154,145,5433,5313,170,31.25,5.86,31.9,5,4,0," Narangoda Liyanaarachchilage Thisara Chirantha Perera","Sri Lanka","Batting style Left-hand bat","Bowling style Right-arm medium-fast"
"41",6,4,1,125,78,41.66,102,122.54,0,1,10,7,0,0,6,6,216,217,3,72.33,6.02,72,0,0,0," Isuru Udana Tillakaratna","Sri Lanka","Batting style Right-hand bat","Bowling style Left-arm medium-fast"
"42",55,41,10,617,72,19.9,718,85.93,0,1,47,12,13,0,55,46,1337,1134,28,40.5,5.08,47.7,0,0,0," Balapuwaduge Manukulasuriya Amith Jeevan Mendis","Sri Lanka","Batting style Left-hand bat","Bowling style Legbreak"
"43",11,7,1,71,25,11.83,166,42.77,0,0,3,0,1,0,11,10,449,430,10,43,5.74,44.9,0,0,0," Jeffrey Dexter Francis Vandersay","Sri Lanka","Batting style Right-hand bat","Bowling style Legbreak"
"44",33,31,4,688,84,25.48,887,77.56,0,4,70,8,19,0,33,27,686,614,15,40.93,5.37,45.7,0,0,0," Dhananjaya Maduranga de Silva","Sri Lanka","Batting style Right-hand bat","Bowling style Right-arm offbreak"
